User_ID,Workspace_ID,Timecard_Date,Hours_Logged
9642765,18856515,13/11/2020,8
9805405,20459495,01/10/2020,1
9805405,31822495,01/10/2020,3
9805405,32642755,01/10/2020,3
9805405,20459685,01/10/2020,1
9805405,18856515,02/10/2020,8
9805405,20459495,05/10/2020,4
9805405,32443575,05/10/2020,2
9805405,20459685,05/10/2020,2
9805405,18856515,06/10/2020,2
9805405,31822495,06/10/2020,3
9805405,32443575,06/10/2020,1
9805405,33203275,06/10/2020,2
9805405,18856515,07/10/2020,3
9805405,32843095,07/10/2020,1
9805405,20459685,07/10/2020,2
9805405,20459685,07/10/2020,2
9805405,18856515,08/10/2020,2
9805405,20459435,08/10/2020,2
9805405,31822495,08/10/2020,3
9805405,20459685,08/10/2020,1
9805405,20459435,09/10/2020,1
9805405,30982545,09/10/2020,5
9805405,20459685,09/10/2020,1
9805405,33162215,09/10/2020,1
9805405,20459495,12/10/2020,2
9805405,31822495,12/10/2020,1.5
9805405,32754835,12/10/2020,2
9805405,33203275,12/10/2020,1
9805405,20459685,12/10/2020,2
9805405,20459435,13/10/2020,1
9805405,31822495,13/10/2020,4
9805405,32754835,13/10/2020,2
9805405,32843095,13/10/2020,1
9805405,20459685,13/10/2020,2
9805405,20459685,13/10/2020,1
9805405,20459435,14/10/2020,2
9805405,20459495,14/10/2020,3
9805405,20459685,14/10/2020,3
9805405,20459495,15/10/2020,2
9805405,20459685,15/10/2020,2
9805405,33203275,15/10/2020,1
9805405,20459685,15/10/2020,2
9805405,20459495,16/10/2020,3
9805405,20459685,16/10/2020,4
9805405,20459455,19/10/2020,2
9805405,20459495,19/10/2020,1
9805405,31822495,19/10/2020,1
9805405,20459685,19/10/2020,1
9805405,32843095,19/10/2020,6
9805405,33203275,19/10/2020,1
9805405,30982545,20/10/2020,4
9805405,31822495,20/10/2020,3
9805405,32843095,20/10/2020,2
9805405,33203275,20/10/2020,1
9805405,18856515,04/11/2020,8
9805405,18856515,05/11/2020,8
9805405,18856515,06/11/2020,8
9805405,18856515,09/11/2020,8
9805405,18856515,10/11/2020,8
9805405,18856515,12/11/2020,8
9805405,18856515,13/11/2020,8
9805405,18856515,16/11/2020,8
9805405,18856515,17/11/2020,8
9805405,18856515,18/11/2020,8
9805405,18856515,19/11/2020,8
9805405,18856515,20/11/2020,8
9805405,18856515,23/11/2020,8
9805405,18856515,24/11/2020,8
9805405,18856515,25/11/2020,8
9805405,18856515,30/11/2020,8
9805405,18856515,01/12/2020,8
9805405,18856515,02/12/2020,8
9805405,18856515,03/12/2020,8
9805405,18856515,04/12/2020,8
9805405,18856515,07/12/2020,8
9805405,18856515,08/12/2020,8
9805405,18856515,09/12/2020,8
9805405,18856515,10/12/2020,8
9805405,18856515,11/12/2020,8
9805405,18856515,14/12/2020,8
9805405,18856515,15/12/2020,8
9805405,18856515,16/12/2020,8
9805405,18856515,17/12/2020,8
9805405,18856515,18/12/2020,8
9805405,18856515,21/12/2020,8
9805405,18856515,22/12/2020,8
9805405,18856515,23/12/2020,8
9805405,18856515,28/12/2020,8
9805405,18856515,29/12/2020,8
9805405,18856515,30/12/2020,8
9805405,18856515,31/12/2020,8
9805405,18856515,04/01/2021,8
9805405,18856515,05/01/2021,8
9805405,18856515,06/01/2021,8
9805405,18856515,07/01/2021,8
9805405,18856515,08/01/2021,8
9805405,18856515,11/01/2021,8
9805405,18856515,12/01/2021,8
9862085,33059425,01/10/2020,0.016666667
9862085,33253615,01/10/2020,0.016666667
9862085,33406165,01/10/2020,0.016666667
9862085,33427335,01/10/2020,0.016666667
9862085,20459685,05/10/2020,1.5
9862085,20459495,07/10/2020,2.5
9862085,20459495,07/10/2020,0.5
9862085,20459495,07/10/2020,0.25
9862085,31669605,07/10/2020,1
9862085,20459685,07/10/2020,0.5
9862085,33435855,07/10/2020,0.25
9862085,33546555,07/10/2020,1
9862085,33591395,07/10/2020,1
9862085,33591645,07/10/2020,0.5
9862085,20459685,07/10/2020,0.5
9862085,33687525,07/10/2020,0.5
9862085,20459495,08/10/2020,2.5
9862085,20459495,08/10/2020,0.5
9862085,20459495,08/10/2020,3.75
9862085,20459685,08/10/2020,0.5
9862085,33435855,08/10/2020,0.5
9862085,33546555,08/10/2020,1
9862085,33591395,08/10/2020,0.25
9862085,33591645,08/10/2020,1
9862085,33687525,08/10/2020,0.5
9862085,20459685,08/10/2020,0.5
9862085,20459685,08/10/2020,0.25
9862085,20459495,09/10/2020,2
9862085,20459495,09/10/2020,0.5
9862085,20459685,09/10/2020,2
